word,definition,part of speech,example
truculence,defiant aggressiveness.,noun,"When the boss confronted Aaron about his earlier remarks, Aaron responded with utter truculence, simply throwing a glass of water in the boss' face and walking away."
truculent,"having a fierce, savage nature.",adjective,"Standing in line for six hours, she became progressively truculent, yelling at DMV employees and elbowing other people waiting in line."
turgid,(of language) pompous and tedious.,adjective,"The amount of GRE vocabulary he used increased with his years--by the time he was 60, his novels were so turgid that even his diehard fans refused to read them."
turpitude,depravity; a depraved act.,noun,"During his reign, Caligula indulged in unspeakable sexual practices, so it not surprising that he will forever be remembered for his turpitude."
tyro,someone new to a field or activity.,noun,"All great writers, athletes, and artists were tyros at one time--unknown, clumsy, and unskilled with much to learn."
umbrage,a feeling of anger caused by being offended.,noun,"Since he was so in love with her, he took umbrage at her comments, even though she had only meant to gently tease him."
unassailable,immune to attack; without flaws.,adjective,"Professor Williams is so self-assured as to seem arrogant, presenting each and every opinion as an unassailable fact."
unflappable,not easily perturbed or excited or upset; marked by extreme calm and composure.,adjective,"The house shook and the ground quaked, but my dad was unflappable and comforted the family."
unforthcoming,"uncooperative, not willing to give up information.",adjective,"The teacher demanded to know who broke the window while he was out of the room, but the students understandably were unforthcoming."
unimpeachable,free of guilt; not subject to blame; beyond doubt or reproach.,adjective,"After his long and unimpeachable service to the company, Sharat felt that a gold watch was a slap in the face rather than an honor."
unprepossessing,creating an unfavorable or neutral first impression.,adjective,"World leaders coming to meet Gandhi would expect a towering sage, and often would be surprised by the unprepossessing little man dressed only in a loincloth and shawl."
unpropitious,(of a circumstance) with little chance of success.,adjective,"With only a bottle of water and a sandwich, the hikers faced an unpropitious task: ascending a huge mountain that took most two days to climb."
unstinting,very generous.,adjective,"Helen is unstinting with her time, often spending hours at the house of a sick friend."
untenable,(of theories etc) incapable of being defended or justified.,adjective,"With the combination of Kepler's brilliant theories and Galileo's telescopic observations, the old geocentric theory became untenable to most of the educated people in Europe."
untoward,unfavorable; inconvenient.,adjective,Some professors find teaching untoward as having to prepare for lectures and conduct office hours prevents them from focusing on their research.
untrammeled,not confined or limited.,adjective,The whole notion of living untrammeled inspired the American Revolution and was enshrined in the Declaration of Independence and the Constitution.
unviable,"not able to work, survive, or succeed (also spelled inviable).",adjective,The plan was obviously unviable considering that it lead to complete environmental destruction in the river valley.
vaunted,highly or widely praised or boasted about.,adjective,"For years, they had heard of New York City's vaunted skyline, and when they finally saw it, the spectacular cityscape did not disappoint them in the least."
venial,easily excused or forgiven; pardonable.,adjective,His traffic violations ran the gamut from the venial to the egregious--on one occasion he simply did not come to a complete stop; another time he tried to escape across state lines at speeds in excess of 140 mph.
verisimilitude,the appearance of truth.,noun,"All bad novels are bad for numerous reasons; all good novels are good for their verisimilitude of reality, placing the readers in a world that resembles the one they know."
